[2018-04-16 07:58:38][8584:1234936550:1523836718][][[Live_callback.php][process][108][ERROR][0] tape duration too short:7|22437_qqqq1111_5ad4114c|210038367_8e7ea18e3974495a9e9ce788591e89ee]
[2018-04-16 09:18:58][12744:83258691:1523841538][][[Live_callback.php][process][108][ERROR][0] tape duration too short:5|22437_qqqq2222|210038367_b4f7738afca443e8bd44da2786600ed8]
[2018-04-16 09:18:58][12744:1568327477:1523841538][][[Live_callback.php][process][108][ERROR][0] tape duration too short:5|22437_qqqq2222|210038367_c56368d67fa74360a48e0cd22e5c622e]
[2018-04-16 09:19:55][12744:1688998001:1523841595][][[Live_callback.php][process][108][ERROR][0] tape duration too short:17|22437_qqqq2222|210038367_99c1eb7abafc412789200defb0ec3376]
[2018-04-16 09:19:56][12744:447974596:1523841596][][[Live_callback.php][process][108][ERROR][0] tape duration too short:17|22437_qqqq2222|210038367_cf954966fda14248a65f07a7edec5719]
[2018-04-16 09:26:08][12744:1183352983:1523841968][][[Live_callback.php][process][108][ERROR][0] tape duration too short:12|22437_qqqq2222|210038367_46e1c6aebe794f63a0a16d86fed70e94]
[2018-04-16 09:26:09][12744:1760297947:1523841969][][[Live_callback.php][process][108][ERROR][0] tape duration too short:12|22437_qqqq2222|210038367_ecb36e2190ff4195a2ffa935f43a5ecc]
[2018-04-16 09:26:35][12744:1310516121:1523841995][][[Live_callback.php][process][108][ERROR][0] tape duration too short:7|22437_qqqq2222|210038367_54846f3ef94c45428f1a45b18ebda266]
[2018-04-16 09:26:35][12744:121214632:1523841995][][[Live_callback.php][process][108][ERROR][0] tape duration too short:7|22437_qqqq2222|210038367_ae1f5a70cfb74a4b91d0916e631aa1a4]
[2018-04-16 09:26:36][12744:1015071777:1523841996][][[Live_callback.php][process][108][ERROR][0] tape duration too short:7|22437_qqqq2222|210038367_2214704437aa4ca9a0985bc57efe67a4]
[2018-04-16 09:26:36][12744:57336876:1523841996][][[Live_callback.php][process][108][ERROR][0] tape duration too short:7|22437_qqqq2222|210038367_5972d79b174943589115fa533cfd6676]
[2018-04-16 09:27:54][12744:542787684:1523842074][][[Live_callback.php][process][108][ERROR][0] tape duration too short:23|22437_qqqq2222|210038367_4194cb95744a4bd19e03ebc36d181a93]
[2018-04-16 09:27:56][12744:1535268859:1523842076][][[Live_callback.php][process][108][ERROR][0] tape duration too short:23|22437_qqqq2222|210038367_c5cc67e3ff924ac3a74c864a6bd619a7]
[2018-04-16 09:29:53][12744:624588983:1523842193][][[Live_callback.php][process][108][ERROR][0] tape duration too short:18|22437_qqqq2222|210038367_6a5909e9c80343eaa4d5202dac8e681b]
[2018-04-16 09:29:54][12744:699033123:1523842194][][[Live_callback.php][process][108][ERROR][0] tape duration too short:18|22437_qqqq2222|210038367_76ff025a817a4930ab19a81be25a1bae]
[2018-04-16 10:15:47][12744:1076228563:1523844947][][[Live_callback.php][process][108][ERROR][0] tape duration too short:0|22437_qqqq1111_5ad43178|210038367_7da84624a8854d2ba7ffbc94bb80fb01]
[2018-04-16 10:35:04][12744:237180721:1523846104][][[Live_callback.php][process][108][ERROR][0] tape duration too short:6|22437_qqqq2222|210038367_0942c0f6c0b749aa9c9c88b4e24954a0]
[2018-04-16 10:35:05][12744:786086237:1523846105][][[Live_callback.php][process][108][ERROR][0] tape duration too short:6|22437_qqqq2222|210038367_1b238a686171422f82f617a24427794d]
[2018-04-16 11:16:40][12744:94164184:1523848600][][[Live_callback.php][init][26][ERROR][0]  request para EC_SYSTEM_INVALID_JSON_FORMAT]
